family_code,family,task,base_hours,hourly_rate,price,labor_taxable_default,tax_mixed_by_brand,hours_vary_by_brand,brand_count,epass_code_stems,flags
CG,Cooking - Gas,Reset Home Circuit Breaker,0.25,130,32.5,Y,yes,no,30,CG612,
CG,Cooking - Gas,Safety Valve Replacement,1,130,130,Y,yes,no,30,CG444,
CG,Cooking - Gas,Simmer Setting Adjustment - Gas Burner,0.3,130,39.0,Y,yes,no,30,CG445,
CG,Cooking - Gas,Solenoid Replacement,0.75,130,97.5,Y,yes,no,30,CG446,
CG,Cooking - Gas,Switch Assembly Replacement,0.75,130,97.5,Y,yes,no,30,CG447,
CG,Cooking - Gas,Terminal Block Replacement - Electrical Connection,0.5,130,65.0,Y,yes,no,30,CG448,
CG,Cooking - Gas,Thermocouple Replacement,0.75,130,97.5,Y,yes,no,30,CG449,
CG,Cooking - Gas,Transformer Replacement,1,130,130,Y,yes,no,30,CG450,
CO,Cooktop,Additional Component Replacement,0.5,130,65.0,N,no,no,6,CO600,modifier
CO,Cooktop,Address Noise Complaint,0.5,130,65.0,N,no,no,6,CO601,
CO,Cooktop,Bin Replacement,0.25,130,32.5,N,no,no,6,CO400,
CO,Cooktop,Bin Roller Replacement,0.75,130,97.5,N,no,no,6,CO401,
CO,Cooktop,Cabinet Component Repair - Major,3,130,390,N,no,no,6,CO602,
CO,Cooktop,Cabinet Component Repair - Minor,1,130,130,N,no,no,6,CO603,
CO,Cooktop,Clear Debris from Drawer Mechanism,0.35,130,45.5,N,no,no,6,CO402,
CO,Cooktop,Component Replacement/Repair - Major,3,130,390,N,no,no,6,CO604,
CO,Cooktop,Component Replacement/Repair - Minor,1,130,130,N,no,no,6,CO605,
CO,Cooktop,Cosmetic Part Replacement - Minor,0.75,130,97.5,N,no,yes,6,CO606|CO607,
CO,Cooktop,Difficult Access Fee,0.5,130,65.0,N,no,no,6,CO608,modifier modifier
CO,Cooktop,Drive Chain Replacement,0.75,130,97.5,N,no,no,6,CO403,
CO,Cooktop,Drive Motor Replacement,1,130,130,N,no,no,6,CO404,
CO,Cooktop,Electronic Control/Module Replacement,0.75,130,97.5,N,no,no,6,CO405,
CO,Cooktop,Fan Motor/Blade Replacement,0.75,130,97.5,N,no,no,6,CO406,
CO,Cooktop,Foot Pedal/Actuator Replacement,0.75,130,97.5,N,no,no,6,CO407,
CO,Cooktop,Gear(s) Replacement,0.75,130,97.5,N,no,no,6,CO408,
CO,Cooktop,Level Unit/Adjust Unit,0.5,130,65.0,N,no,no,6,CO609,
CO,Cooktop,Lubricate Power Nuts/Screws,0.5,130,65.0,N,no,no,6,CO409,
CO,Cooktop,Microswitch Replacement,0.75,130,97.5,N,no,no,6,CO410,
CO,Cooktop,Power Cord/Electrical Conduit Replacement,0.5,130,65.0,N,no,no,6,CO411,
CO,Cooktop,Power Nut(s) Replacement,1,130,130,N,no,no,6,CO412,
CO,Cooktop,Power Screw Assembly Replacement,1,130,130,N,no,no,6,CO413,
CO,Cooktop,Problem Could Not Be Reproduced,0.5,130,65.0,N,no,no,6,CO610,
CO,Cooktop,Ram Assembly Components Replacement,1,130,130,N,no,no,6,CO414,
CO,Cooktop,Reinstallation of Unit,0.5,130,65.0,N,no,no,6,CO415,
CO,Cooktop,Repair Burnt Wire(s) or Loose Connection(s),0.75,130,97.5,N,no,no,6,CO611,
CO,Cooktop,Reset Home Circuit Breaker,0.25,130,32.5,N,no,no,6,CO612,
CO,Cooktop,Start Switch Replacement,0.75,130,97.5,N,no,no,6,CO416,
DI,Disposal?,Additional Component Replacement,0.5,130,65.0,N,no,no,2,DI600,modifier
DI,Disposal?,Address Noise Complaint,0.5,130,65.0,N,no,no,2,DI601,
DI,Disposal?,Cabinet Component Repair - Major,3,130,390,N,no,no,2,DI602,
DI,Disposal?,Cabinet Component Repair - Minor,1,130,130,N,no,no,2,DI603,
DI,Disposal?,Clear Debris From Disposal Mechanism,0.25,130,32.5,N,no,no,2,DI400,
DI,Disposal?,Component Replacement/Repair - Major,3,130,390,N,no,no,2,DI604,
DI,Disposal?,Component Replacement/Repair - Minor,1,130,130,N,no,no,2,DI605,
DI,Disposal?,Cosmetic Part Replacement - Minor,0.75,130,97.5,N,no,yes,2,DI606|DI607,
DI,Disposal?,Difficult Access Fee,0.5,130,65.0,N,no,no,2,DI608,modifier modifier
DI,Disposal?,Level Unit/Adjust Unit,0.5,130,65.0,N,no,no,2,DI609,
DI,Disposal?,Power Cord/Electrical Conduit Replacement,0.5,130,65.0,N,no,no,2,DI401,
DI,Disposal?,Problem Could Not Be Reproduced,0.5,130,65.0,N,no,no,2,DI610,
DI,Disposal?,Remove Knock-Out for DW Connection,0.25,130,32.5,N,no,no,2,DI402,
DI,Disposal?,Repair Burnt Wire(s) or Loose Connection(s),0.75,130,97.5,N,no,no,2,DI611,
DI,Disposal?,Replace Disposal (Exact Match Replacement Only) - NO PLUMBING,2,130,260,N,no,no,2,DI403,
DI,Disposal?,Reset Home Circuit Breaker,0.25,130,32.5,N,no,no,2,DI612,
DI,Disposal?,Reset Motor Overload,0.25,130,32.5,N,no,no,2,DI404,
DISL,Discount Labor,Discounted Courtesy Labor,0.25,130,32.5,N,no,no,58,DISL1,
DR,Dryer,Additional Component Replacement,0.5,130,65.0,Y,no,no,15,DR600,modifier
DR,Dryer,Address Noise Complaint,0.5,130,65.0,Y,no,no,15,DR601,
